call_id,speaker,transcript,is_urgent,used_threat,good_offers,request_money_transfer,request_personal_info,request_banking_info,request_passwords,request_code,is_vishing
1,المتصل,أهلاً أستاذ محمد معك مشعل من بنك الراجحي حبيت أبلغك إنك مؤهل لعرض خاص على تمويل شخصي بنسبة ربح مخفضة,0,0,1,0,0,0,0,0,0
1,الطرف الآخر,ممتاز وش تفاصيل العرض,0,0,1,0,0,0,0,0,0
1,المتصل,التمويل بدون رسوم إدارية ولمدة محدودة تفضل أكمل لك البيانات لو حاب,0,0,1,0,0,0,0,0,0
2,المتصل,أستاذ عبدالله تم رصد تأخير في سداد آخر قسط من القرض لازم تتم التسوية خلال يومين,1,1,0,0,0,0,0,0,0
2,الطرف الآخر,والله ما وصلني تنبيه متى كان مستحق,1,1,0,0,0,0,0,0,0
2,المتصل,في حال ما تم السداد ممكن يتأثر سجلّك الائتماني ونتمنى ما نوصل لها النقطة,1,1,0,0,0,0,0,0,0
3,المتصل,"السلام عليكم، معك أحمد من خدمة عملاء البنك الأهلي",0,0,0,0,0,0,0,0,0
3,الطرف الآخر,وعليكم السلام,0,0,0,0,0,0,0,0,0
3,المتصل,نتصل للتأكيد على عملية شراء تمت على بطاقتك بمبلغ 500 ريال من متجر إلكتروني هل هذه العملية صحيحة,0,0,0,0,0,0,0,0,0
3,الطرف الآخر,نعم اشتريت جهاز كمبيوتر أمس,0,0,0,0,0,0,0,0,0
3,المتصل,شكراً لك العملية مؤكدة. هل تحتاج أي مساعدة أخرى,0,0,0,0,0,0,0,0,0
4,المتصل,السلام عليكم معك قسم الأمان في بنك الراجحي,0,0,0,0,0,0,0,0,1
4,الطرف الآخر,وعليكم السلام,0,0,0,0,0,0,0,0,1
4,المتصل,حسابك تعرض لاختراق نحتاج تأكيد هويتك عشان نحميه,1,1,0,0,1,1,0,0,1
4,الطرف الآخر,كيف,0,0,0,0,0,0,0,0,1
4,المتصل,أرسل لك رمز تأكيد على الجوال قول لي الرقم عشان نأمن الحساب,1,0,0,0,0,0,0,1,1
4,الطرف الآخر,بس ليش تبون الرمز,0,0,0,0,0,0,0,0,1
4,المتصل,لازم نتأكد إنك صاحب الحساب والله لو ما سويت كذا راح يسرقون فلوسك كلها,1,1,0,0,0,0,0,0,1
5,المتصل,مبروك كسبت جائزة 50000 ريال من مسابقة مقدمة من البنك,0,0,1,0,0,0,0,0,1
5,الطرف الآخر,مسابقة إيش,0,0,0,0,0,0,0,0,1
5,المتصل,مسابقة العملاء المميزين بس نحتاج نتأكد من بياناتك,0,0,1,0,1,0,0,0,1
5,الطرف الآخر,إيش تبون,0,0,0,0,0,0,0,0,1
5,المتصل,رقم الهوية ورقم البطاقة البنكية عشان نحول لك الجائزة,0,0,1,1,1,1,0,0,1
5,الطرف الآخر,وليش البطاقة,0,0,0,0,0,0,0,0,1
5,المتصل,هذا نظام البنك والله العرض لمدة ساعة بس,1,0,1,0,0,0,0,0,1
6,المتصل, عندك مخالفات مرورية تحتاج الى السداد ,0,0,0,0,0,0,0,0,1
6,الطرف الآخر,مخالفات إيش,0,0,0,0,0,0,0,0,1
6,المتصل,لازم تدفع غرامة 2000 ريال خلال ساعة والا راح نوقف حسابك البنكي,1,1,0,1,0,0,0,0,1
6,الطرف الآخر,وكيف أدفع,0,0,0,0,0,0,0,0,1
6,المتصل,حول المبلغ على هذا الحساب وأرسل لي صورة الإيصال,1,0,0,1,0,0,0,0,1
7,المتصل,عندك فرصة ذهبية للاستثمار في العملات الرقمية,0,0,1,0,0,0,0,0,1
7,الطرف الآخر,إيش هالفرصة,0,0,0,0,0,0,0,0,1
7,المتصل,لو حولت 10000 ريال اليوم خلال أسبوع تصير 50000,1,0,1,1,0,0,0,0,1
7,الطرف الآخر,مضمونة,0,0,0,0,0,0,0,0,1
7,المتصل,والله مضمونة 100 بس لازم تحول الحين قبل ما ينتهي العرض,1,0,1,1,0,0,0,0,1
8,المتصل,من جمعية خيرية نجمع تبرعات للأيتام,0,0,0,0,0,0,0,0,1
8,الطرف الآخر,أي جمعية,0,0,0,0,0,0,0,0,1
8,المتصل,جمعية الخير تقدر تتبرع ب 500 ريال,0,0,0,1,0,0,0,0,1
8,الطرف الآخر,كيف أتبرع,0,0,0,0,0,0,0,0,1
8,المتصل,حول على هذا الحساب والله الأطفال محتاجين,0,0,0,1,0,0,0,0,1
9,المتصل,معك من البنك السعودي للاستثمار حسابك محجوز,0,1,0,0,0,0,0,0,1
9,الطرف الآخر,ليش محجوز,0,0,0,0,0,0,0,0,1
9,المتصل,عمليات مشبوهة نحتاج رقم البطاقة عشان نفكه,0,1,0,0,0,1,0,0,1
9,الطرف الآخر,بس أنا ما سويت شي,0,0,0,0,0,0,0,0,1
9,المتصل,لازم تعطيني الرقم الحين والا راح يقفل نهائياً,1,1,0,0,0,1,0,0,1
10,المتصل,كسبت رحلة مجانية لدبي من طيران ناس بالتعاون مع بنكنا,0,0,1,0,0,0,0,0,1
10,الطرف الآخر,كيف كسبت,0,0,0,0,0,0,0,0,1
10,المتصل,سحب عشوائي على العملاء بس نحتاج رسوم الحجز 800 ريال,0,0,1,1,0,0,0,0,1
10,الطرف الآخر,ليش رسوم,0,0,0,0,0,0,0,0,1
10,المتصل,رسوم إدارية بسيطة حول الحين قبل ما ينتهي السحب,1,0,1,1,0,0,0,0,1
11,المتصل,بطاقتك الي في ابل باي تعرضت للاختراق,0,1,0,0,0,0,0,0,1
11,الطرف الآخر,كيف عرفتو,0,0,0,0,0,0,0,0,1
11,المتصل,عندنا نظام مراقبة نحتاج رقم الحساب وكلمة السر عشان نحميه,0,0,0,0,1,0,1,0,1
11,الطرف الآخر,بس ليش تبونها,0,0,0,0,0,0,0,0,1
11,المتصل,عشان نغير الإعدادات الأمنية لازم نسوي كذا الحين,1,0,0,0,0,0,0,0,1
12,المتصل,معك البنك و تواصلوا معنا الهيئة العامة للزكاة عليك مبلغ زكاة,0,0,0,0,0,0,0,0,1
12,الطرف الآخر,كم المبلغ,0,0,0,0,0,0,0,0,1
12,المتصل,15000 ريال ولازم تدفع خلال 24 ساعة,1,1,0,1,0,0,0,0,1
12,الطرف الآخر,وكيف أدفع,0,0,0,0,0,0,0,0,1
12,المتصل,حول على حساب الهيئة هذا وأرسل لي صورة الإيصال عشان نسجل الدفع,1,0,0,1,0,0,0,0,1
13,المتصل,مبروك ربحت سيارة لكزس من البنك بالتعاون مع معرض الجميح,0,0,1,0,0,0,0,0,1
13,الطرف الآخر,كيف ربحت,0,0,0,0,0,0,0,0,1
13,المتصل,قرعة على الزوار بس نحتاج نتأكد من الهوية,0,0,1,0,1,0,0,0,1
13,الطرف الآخر,إيش تبون,0,0,0,0,0,0,0,0,1
13,المتصل,صورة الهوية ورقم الحساب عشان نسجل السيارة,0,0,1,0,1,1,0,0,1
13,الطرف الآخر,والله,0,0,0,0,0,0,0,0,1
13,المتصل,ايه والله بس العرض ينتهي خلال ساعتين,1,0,1,0,0,0,0,0,1
14,المتصل, وزارة الصحة تواصلوا معنا البنك و قالوا تطعيمك كورونا منتهي الصلاحية,0,0,0,0,0,0,0,0,1
14,الطرف الآخر,إيش المطلوب,0,0,0,0,0,0,0,0,1
14,المتصل,لازم تجدد ب 200 ريال والا ما تقدر تسافر,1,1,0,1,0,0,0,0,1
14,الطرف الآخر,وكيف أجدد,0,0,0,0,0,0,0,0,1
14,المتصل,حول المبلغ على حساب الوزارة وأرسل لي الإيصال,1,0,0,1,0,0,0,0,1
15,المتصل,جاء البنك رساله عندك مشكلة في الدفع لحساب نتفليكس ,0,1,0,0,0,0,0,0,1
15,الطرف الآخر,إيش المشكلة,0,0,0,0,0,0,0,0,1
15,المتصل,مشكلة في الدفع نحتاج بيانات البطاقة الجديدة عشان نغير لك الدفع,0,0,0,0,0,1,0,0,1
15,الطرف الآخر,بس أنا ما غيرت شي,0,0,0,0,0,0,0,0,1
15,المتصل,لازم تحديث البيانات خلال ساعة والا الحساب راح يتمسح,1,1,0,0,0,0,0,0,1
16,المتصل, مكتب العمل بلغوا البنك ان راتبك محجوز,0,1,0,0,0,0,0,0,1
16,الطرف الآخر,ليش محجوز,0,0,0,0,0,0,0,0,1
16,المتصل,مشكلة في الأوراق نحتاج رقم الآيبان عشان نحل المشكلة,0,0,0,0,0,1,0,0,1
16,الطرف الآخر,وإيش المشكلة بالضبط,0,0,0,0,0,0,0,0,1
16,المتصل,ما أقدر أقول بالتليفون بس لازم تعطيني الرقم الحين,1,0,0,0,0,0,0,0,1
17,المتصل,السلام عليكم معك من قسم الحماية بالبنك حصلنا محاولة دخول مشبوهة,1,1,0,0,0,0,0,0,1
17,الطرف الآخر,وش نوع المحاولة,0,0,0,0,0,0,0,0,1
17,المتصل,نحتاج الكود الي وصلك عشان نلغي العملية,0,1,0,0,0,0,0,1,1
17,الطرف الآخر,طيب دقيقة اشوف الرسالة,0,0,0,0,0,0,0,0,1
17,المتصل,ها بسرعة وصلك الكود؟,1,0,0,0,0,0,0,0,1
18,المتصل,أهلاً أستاذة نورة معك خالد من البنك الأهلي حاب أتأكد من بعض البيانات لتحديث ملفك,0,0,0,0,1,0,0,0,0
18,الطرف الآخر,تفضل وش المطلوب,0,0,0,0,1,0,0,0,0
18,المتصل,فقط رقم الهوية وتاريخ الميلاد اللي عندك عشان نحدثها بالنظام,0,0,0,0,1,0,0,0,0
19,المتصل,مرحبا معك نورة من بنك البلاد نؤكد على تحديث بياناتك,0,0,0,0,1,0,0,0,0
19,الطرف الآخر,ايه حدثتها قبل اسبوع,0,0,0,0,0,0,0,0,0
19,المتصل,ممتاز فقط تأكيد شكرا لتعاونك,0,0,0,0,0,0,0,0,0
20,المتصل,نحن من البنك تم حظر بطاقتك نحتاج الكود الآن,1,1,0,0,0,1,0,1,1
20,الطرف الآخر,ايش المقصود,1,0,0,0,0,0,0,0,1
20,المتصل,اذا ما وصل الكود راح يتم تجميد الحساب,1,1,0,0,0,1,0,1,1
21,المتصل,السلام عليكم انا من خدمة عملاء بنك الانماء نتابع طلبك للقرض الشخصي,0,0,1,0,0,0,0,0,0
21,الطرف الآخر,تمام متى راح يتم الاتصال بي,0,0,0,0,0,0,0,0,0
21,المتصل,راح يتواصل معك الموظف خلال يومين,0,0,0,0,0,0,0,0,0
22,المتصل,فيه محاولة سحب مشبوهة من حسابك نحتاج رقم الهوية الآن,1,1,0,0,1,1,0,0,1
22,الطرف الآخر,بس ما استلمت تنبيه من التطبيق,1,0,0,0,0,0,0,0,1
22,المتصل,لان الهجوم خارجي لازم نتأكد بسرعة,1,1,0,0,1,1,0,0,1
23,المتصل,مساء الخير معك هاني من بنك الراجحي فقط نأكد عنوان التوصيل للبطاقة,0,0,0,0,0,0,0,0,0
23,الطرف الآخر,العنوان حي الشفا شارع النور,0,0,0,0,0,0,0,0,0
23,المتصل,تم تسجيله بنجاح شكرا لك,0,0,0,0,0,0,0,0,0
24,المتصل,لديك نقاط مجانية سيتم حذفها اذا ما فعلتها الآن,1,1,1,0,0,0,0,1,1
24,الطرف الآخر,كيف افعلها,1,0,0,0,0,0,0,0,1
24,المتصل,ارسل لي كود التفعيل اللي وصلك برسالة,1,0,0,0,0,0,0,1,1
25,المتصل,نبلغك ان كشف الحساب الشهري متاح عبر التطبيق,0,0,0,0,0,0,0,0,0
25,الطرف الآخر,ممتاز شكرا لكم,0,0,0,0,0,0,0,0,0
25,المتصل,هل تود الاشتراك في التنبيهات المجانية,0,0,1,0,0,0,0,0,0
26,المتصل,فيه تحديث جديد لازم تدخل معلوماتك البنكية الآن,1,1,0,0,0,1,0,0,1
26,الطرف الآخر,ايش نوع التحديث,1,0,0,0,0,0,0,0,1
26,المتصل,لحماية الحساب من الإيقاف الدائم,1,1,0,0,0,1,0,0,1
27,المتصل,هل تم تسليم البطاقة البنكية الجديدة لك,0,0,0,0,0,0,0,0,0
27,الطرف الآخر,نعم استلمتها اليوم,0,0,0,0,0,0,0,0,0
27,المتصل,ممتاز تقدر تفعلها من التطبيق بسهولة,0,0,0,0,0,0,0,0,0
28,المتصل,تم الدخول لحسابك من جهاز غير معروف نحتاج كلمة السر الآن,1,1,0,0,0,1,1,0,1
28,الطرف الآخر,لحظة ما اعطيت احد بياناتي,1,0,0,0,0,0,0,0,1
28,المتصل,عشان كذا لازم تأكد هويتك بإرسال كلمة السر,1,1,0,0,1,1,1,0,1
29,المتصل,السلام عليكم معك عبدالله من بنك الراجحي نؤكد تحديث بياناتك,0,0,0,0,1,0,0,0,0
